step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
58296,347,-60.3559,98876.76,0.05911,64.50,0.047225,0.0770,
58464,348,-66.4323,110187.15,0.04608,60.00,0.044982,0.0743,
58632,349,-55.5969,83204.99,0.06649,60.50,0.050635,0.0717,
58800,350,-70.2243,103411.23,0.05257,62.75,0.053910,0.0690,
58968,351,-84.5366,142101.81,0.02471,67.75,0.080326,0.0663,
59136,352,-58.1353,102549.80,0.04305,59.25,0.075601,0.0637,
59304,353,-59.8721,96447.19,0.04646,56.50,0.050158,0.0610,
59472,354,-54.0878,85318.74,0.05770,54.25,0.045579,0.0584,
59640,355,-54.2795,84561.77,0.04506,52.75,0.053663,0.0557,
59808,356,-65.3224,100402.34,0.07347,68.00,0.039249,0.0530,
59976,357,-69.4021,105325.15,0.07436,73.75,0.083815,0.0504,
60000,357,,,,,,,-67.9914
60144,358,-85.7459,152938.97,0.05727,81.00,0.047645,0.0500,
60312,359,-55.1818,76327.32,0.07700,61.75,0.040004,0.0500,
60480,360,-51.2631,76182.69,0.05703,48.50,0.043807,0.0500,
60648,361,-60.6279,81616.07,0.06953,62.25,0.074147,0.0500,
60816,362,-56.9068,86383.39,0.06221,59.25,0.049134,0.0500,
60984,363,-84.2877,165927.03,0.01445,73.75,0.061350,0.0500,
61152,364,-62.5233,103608.49,0.07269,72.00,0.075853,0.0500,
61320,365,-58.6639,86177.70,0.09818,71.00,0.055342,0.0500,
61488,366,-67.9334,106424.02,0.05889,66.50,0.046991,0.0500,
61656,367,-50.1629,84599.32,0.05781,53.00,0.048188,0.0500,
61824,368,-83.1070,158369.27,0.04703,79.50,0.047588,0.0500,
61992,369,-52.4238,80744.87,0.07019,57.00,0.052968,0.0500,
62160,370,-70.6250,103360.19,0.07983,70.00,0.051926,0.0500,
62328,371,-70.2120,95868.26,0.05788,58.75,0.048903,0.0500,
62496,372,-52.9112,69705.48,0.08121,56.25,0.060445,0.0500,
62664,373,-84.9932,145011.09,0.03954,68.25,0.045381,0.0500,
62832,374,-58.2259,77397.76,0.09366,67.25,0.062446,0.0500,
63000,375,-50.5856,81230.65,0.05529,51.75,0.038647,0.0500,
