step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
39144,233,-67.6257,114358.33,0.06363,69.75,0.100979,0.3802,
39312,234,-76.2862,136680.77,0.05696,80.25,0.129663,0.3776,
39480,235,-63.3328,106097.94,0.06813,66.75,0.065720,0.3749,
39648,236,-92.4202,151661.48,0.05330,83.00,0.102145,0.3722,
39816,237,-61.9648,111852.44,0.09529,85.25,0.097133,0.3696,
39984,238,-63.8623,114021.50,0.05475,71.00,0.078733,0.3669,
40000,238,,,,,,,-79.3919
40152,239,-68.7581,119038.62,0.04952,68.00,0.110483,0.3643,
40320,240,-64.6846,113279.64,0.06036,71.00,0.074179,0.3616,
40488,241,-69.7064,104399.30,0.06682,67.00,0.041274,0.3589,
40656,242,-97.4347,152889.01,0.04938,75.25,0.069687,0.3563,
40824,243,-79.9992,128960.20,0.03651,67.75,0.067052,0.3536,
40992,244,-63.7871,115549.51,0.06102,73.25,0.129766,0.3510,
41160,245,-64.2426,104130.21,0.04312,62.00,0.051626,0.3483,
41328,246,-93.0681,169841.96,0.04316,82.75,0.050556,0.3456,
41496,247,-83.1340,116381.07,0.07191,72.75,0.103523,0.3430,
41664,248,-63.0807,106671.40,0.04975,62.00,0.106350,0.3403,
41832,249,-62.2833,114043.68,0.03472,65.25,0.079012,0.3377,
42000,250,-84.3289,162728.91,0.05008,87.00,0.046784,0.3350,
42168,251,-91.4022,166900.89,0.03357,81.25,0.078007,0.3323,
42336,252,-89.2333,156938.99,0.07780,89.00,0.100736,0.3297,
42504,253,-94.5714,156671.76,0.06155,82.75,0.054070,0.3270,
42672,254,-76.1851,107804.10,0.05712,69.00,0.121179,0.3244,
42840,255,-89.2723,156259.16,0.03845,78.00,0.061037,0.3217,
43008,256,-77.4595,119686.48,0.09073,90.00,0.052466,0.3190,
43176,257,-64.7555,115021.61,0.05852,66.50,0.079006,0.3164,
43344,258,-67.6381,94437.79,0.06098,61.75,0.061690,0.3137,
43512,259,-90.7140,156936.38,0.04581,82.00,0.088414,0.3111,
43680,260,-76.5930,118706.27,0.06332,75.25,0.067911,0.3084,
43848,261,-64.2801,110869.57,0.05399,66.25,0.063046,0.3057,
44016,262,-65.2072,121595.04,0.05932,74.25,0.106551,0.3031,
44184,263,-63.7727,108302.51,0.04977,68.25,0.065100,0.3004,
44352,264,-62.4567,109229.56,0.05812,65.00,0.077039,0.2978,
44520,265,-63.3271,106514.44,0.04394,61.75,0.099981,0.2951,
44688,266,-86.9572,163568.44,0.05582,87.50,0.066397,0.2924,
44856,267,-65.2546,110158.89,0.03155,60.75,0.058513,0.2898,
45000,267,,,,,,,-84.5392
45024,268,-60.8467,105635.01,0.04525,61.25,0.054129,0.2871,
45192,269,-93.6006,151717.08,0.04655,77.25,0.128192,0.2845,
45360,270,-67.2877,119208.45,0.06396,73.00,0.065303,0.2818,
45528,271,-92.0023,162640.52,0.04873,84.00,0.087776,0.2791,
45696,272,-63.7256,107705.30,0.05294,63.25,0.108681,0.2765,
45864,273,-64.6529,104278.41,0.10350,76.75,0.056985,0.2738,
46032,274,-64.4355,103076.62,0.07400,70.25,0.156600,0.2712,
46200,275,-86.9136,160301.03,0.06442,84.00,0.051939,0.2685,
46368,276,-77.0587,123236.86,0.08679,80.00,0.106338,0.2658,
46536,277,-92.5647,157248.96,0.07651,87.25,0.055085,0.2632,
46704,278,-69.9880,116107.19,0.05414,70.25,0.101694,0.2605,
46872,279,-61.7820,110575.17,0.08378,73.25,0.064402,0.2579,
47040,280,-59.7425,101632.88,0.05958,61.50,0.048171,0.2552,
47208,281,-94.2285,156188.16,0.07374,88.00,0.089311,0.2525,
47376,282,-62.4360,96829.32,0.04935,62.75,0.060462,0.2499,
47544,283,-63.0166,105410.98,0.06337,65.75,0.089862,0.2472,
47712,284,-96.8116,151922.03,0.03784,74.75,0.063056,0.2446,
47880,285,-77.2095,97339.12,0.11197,74.00,0.063817,0.2419,
48048,286,-61.3642,98870.76,0.05919,65.25,0.060938,0.2392,
48216,287,-54.5455,90249.77,0.05675,57.75,0.049686,0.2366,
48384,288,-63.8629,103912.32,0.04973,60.25,0.059145,0.2339,
48552,289,-59.0388,105723.88,0.02661,57.00,0.125818,0.2313,
48720,290,-93.2613,143573.87,0.04430,72.50,0.066511,0.2286,
48888,291,-58.9560,100150.12,0.05855,64.25,0.068506,0.2259,
49056,292,-64.2470,99543.99,0.07219,67.00,0.072571,0.2233,
49224,293,-65.8233,95399.79,0.09692,75.75,0.083414,0.2206,
49392,294,-94.8926,170090.33,0.06809,79.75,0.045897,0.2180,
49560,295,-62.7947,107832.61,0.05445,65.75,0.082244,0.2153,
49728,296,-61.9252,106890.53,0.04812,63.25,0.078734,0.2126,
49896,297,-62.2892,105721.75,0.03414,61.50,0.093726,0.2100,
50000,297,,,,,,,-65.5463
50064,298,-91.1934,145627.71,0.06312,75.25,0.161202,0.2073,
50232,299,-91.1959,160359.88,0.04839,83.25,0.074429,0.2047,
50400,300,-93.4592,161852.23,0.03723,76.25,0.063402,0.2020,
50568,301,-65.0505,103579.84,0.08294,69.75,0.060088,0.1993,
50736,302,-94.8370,143714.99,0.05594,74.25,0.089045,0.1967,
50904,303,-76.5358,92295.48,0.05026,54.25,0.116356,0.1940,
51072,304,-59.3010,98288.55,0.05059,58.25,0.081097,0.1914,
51240,305,-58.6458,98185.67,0.08207,71.75,0.047163,0.1887,
51408,306,-58.8007,95094.37,0.06134,64.75,0.053527,0.1860,
51576,307,-73.7882,113356.97,0.07654,77.25,0.080117,0.1834,
51744,308,-59.6212,103553.69,0.04919,62.25,0.066116,0.1807,
51912,309,-56.5364,80590.99,0.06937,63.75,0.054015,0.1781,
52080,310,-61.8856,91946.32,0.05659,59.50,0.100907,0.1754,
52248,311,-61.5928,78024.99,0.06805,54.25,0.057082,0.1727,
52416,312,-95.6595,146955.59,0.06513,84.25,0.067266,0.1701,
52584,313,-60.3708,99658.21,0.07124,70.75,0.071489,0.1674,
52752,314,-61.6874,102705.47,0.05279,64.00,0.072474,0.1648,
52920,315,-94.7230,158621.35,0.06701,82.50,0.108430,0.1621,
53088,316,-56.7112,94587.61,0.05933,61.75,0.070703,0.1594,
53256,317,-62.2424,105987.10,0.07976,74.25,0.046061,0.1568,
53424,318,-61.6769,95820.77,0.07099,66.50,0.079190,0.1541,
53592,319,-67.7798,114778.79,0.02876,62.50,0.063656,0.1515,
53760,320,-60.8583,101753.68,0.06832,64.50,0.060249,0.1488,
53928,321,-60.6725,87919.02,0.03419,49.25,0.076585,0.1461,
54096,322,-86.9299,143554.79,0.03018,68.25,0.064962,0.1435,
54264,323,-58.8982,97304.08,0.08970,76.50,0.059286,0.1408,
54432,324,-85.4524,146967.74,0.04816,73.50,0.082376,0.1382,
54600,325,-86.3463,150042.54,0.07715,91.75,0.070824,0.1355,
54768,326,-57.5507,88475.38,0.05654,54.00,0.068465,0.1328,
54936,327,-89.6080,153766.48,0.06183,79.00,0.088433,0.1302,
55000,327,,,,,,,-68.6095
55104,328,-59.7165,84236.07,0.06214,57.50,0.064925,0.1275,
55272,329,-59.5885,84251.49,0.08433,66.00,0.084452,0.1249,
55440,330,-85.7594,158131.87,0.05720,80.50,0.077635,0.1222,
55608,331,-62.9460,89891.29,0.10070,80.25,0.051803,0.1195,
55776,332,-60.7318,103412.20,0.07340,73.25,0.085226,0.1169,
55944,333,-60.8403,93200.59,0.07633,65.50,0.073130,0.1142,
56112,334,-60.2856,91621.43,0.06625,67.25,0.060203,0.1116,
56280,335,-57.7260,88978.41,0.07744,65.25,0.088872,0.1089,
56448,336,-60.0972,96065.16,0.07146,67.25,0.055734,0.1062,
56616,337,-59.6924,77235.71,0.07068,55.50,0.055901,0.1036,
56784,338,-60.3336,89391.57,0.07987,68.50,0.069401,0.1009,
56952,339,-60.5895,86683.63,0.05564,58.25,0.051033,0.0983,
57120,340,-58.4906,91653.24,0.08726,65.25,0.078326,0.0956,
57288,341,-88.1018,146285.52,0.04383,72.50,0.089413,0.0929,
57456,342,-56.5638,86770.72,0.08870,69.75,0.058548,0.0903,
57624,343,-71.4553,116762.56,0.07023,76.75,0.059927,0.0876,
57792,344,-102.9596,125427.75,0.06453,73.75,0.088697,0.0850,
57960,345,-59.0953,88223.89,0.07999,67.75,0.066079,0.0823,
58128,346,-55.7447,91053.24,0.04503,57.75,0.092393,0.0796,
58296,347,-67.5822,83817.62,0.08179,66.25,0.078531,0.0770,
58464,348,-75.8638,106881.80,0.07455,71.50,0.076084,0.0743,
58632,349,-54.9278,88770.89,0.04002,52.50,0.063989,0.0717,
58800,350,-72.2967,101020.84,0.09658,72.75,0.065812,0.0690,
58968,351,-87.2707,158119.71,0.04857,83.00,0.074039,0.0663,
59136,352,-55.1507,93816.12,0.04289,56.00,0.099597,0.0637,
59304,353,-66.2479,91084.35,0.05136,53.50,0.075354,0.0610,
59472,354,-59.6015,77621.76,0.05704,50.75,0.044986,0.0584,
59640,355,-64.5238,90703.53,0.11286,80.75,0.067208,0.0557,
59808,356,-68.2756,92112.75,0.07858,71.25,0.073882,0.0530,
59976,357,-66.8954,108330.85,0.06830,71.50,0.074527,0.0504,
60000,357,,,,,,,-94.4007
60144,358,-93.6037,145033.88,0.05549,77.00,0.066010,0.0500,
60312,359,-54.8751,84214.87,0.08280,64.00,0.080575,0.0500,
60480,360,-51.4337,82207.62,0.03134,45.25,0.055733,0.0500,
60648,361,-60.4819,88578.37,0.06819,58.00,0.070058,0.0500,
60816,362,-63.9993,80558.04,0.13055,67.50,0.078381,0.0500,
60984,363,-93.2943,153717.88,0.03446,75.50,0.058233,0.0500,
61152,364,-64.5139,93611.78,0.05836,64.00,0.090419,0.0500,
61320,365,-57.9734,72414.99,0.06882,51.75,0.064767,0.0500,
61488,366,-75.1761,105907.24,0.06821,63.00,0.082196,0.0500,
61656,367,-52.0427,82039.99,0.04697,51.00,0.066425,0.0500,
61824,368,-89.6200,134022.63,0.03635,68.00,0.060654,0.0500,
61992,369,-52.6823,80965.22,0.08988,66.25,0.065034,0.0500,
62160,370,-76.1057,105091.92,0.09267,68.75,0.081774,0.0500,
62328,371,-74.2213,105860.34,0.04473,59.50,0.073011,0.0500,
62496,372,-50.1496,82930.46,0.05043,51.00,0.072631,0.0500,
62664,373,-93.9317,156689.43,0.05239,76.75,0.047485,0.0500,
62832,374,-54.6536,88258.02,0.03875,49.50,0.059658,0.0500,
63000,375,-56.1993,85562.00,0.10036,77.50,0.061653,0.0500,
