step,episode,episode_return,episode_wue,loss,epsilon,eval_return
65856,392,-55.0604,92177.15,0.074441,0.0500,
66024,393,-72.0914,120179.68,0.063304,0.0500,
66192,394,-53.2737,90132.88,0.075031,0.0500,
66360,395,-54.7365,91142.64,0.075544,0.0500,
66528,396,-52.1806,86908.02,0.075579,0.0500,
66696,397,-92.4192,168157.92,0.059461,0.0500,
66864,398,-55.4729,98199.11,0.059941,0.0500,
67032,399,-88.0154,141008.53,0.084387,0.0500,
67200,400,-52.0255,86344.86,0.086798,0.0500,
67368,401,-58.3335,97374.44,0.095617,0.0500,
67536,402,-75.1065,97290.29,0.054265,0.0500,
67704,403,-60.8871,104116.97,0.072225,0.0500,
67872,404,-72.5644,111823.47,0.110577,0.0500,
68040,405,-91.1631,139801.89,0.083644,0.0500,
68208,406,-55.6728,87501.50,0.071729,0.0500,
68376,407,-56.8921,80247.68,0.057592,0.0500,
68544,408,-74.4158,126900.14,0.085128,0.0500,
68712,409,-88.5132,151239.82,0.065779,0.0500,
68880,410,-56.4592,81713.90,0.069469,0.0500,
69048,411,-55.8860,97683.48,0.089941,0.0500,
69216,412,-58.1292,97372.11,0.091754,0.0500,
69384,413,-52.2590,88769.66,0.085780,0.0500,
69552,414,-51.5951,94283.12,0.052407,0.0500,
69720,415,-50.4616,83201.67,0.065491,0.0500,
69888,416,-56.4293,86317.89,0.065300,0.0500,
70000,416,,,,,-79.3659
70056,417,-53.8752,86387.55,0.068569,0.0500,
70224,418,-54.0987,96988.68,0.061159,0.0500,
70392,419,-65.7519,105258.04,0.066458,0.0500,
70560,420,-90.9799,145524.73,0.056842,0.0500,
70728,421,-56.6292,82981.18,0.081737,0.0500,
70896,422,-57.8547,88161.04,0.072097,0.0500,
71064,423,-89.3914,134294.07,0.062110,0.0500,
71232,424,-56.1843,94017.54,0.081015,0.0500,
71400,425,-55.1381,95541.63,0.066319,0.0500,
71568,426,-64.0222,98337.41,0.053700,0.0500,
71736,427,-91.2919,164606.23,0.061235,0.0500,
71904,428,-86.5576,148170.38,0.075344,0.0500,
72072,429,-80.6669,118429.37,0.069909,0.0500,
72240,430,-57.6148,92211.39,0.074906,0.0500,
72408,431,-56.0719,89762.77,0.079806,0.0500,
72576,432,-57.6882,98067.47,0.070768,0.0500,
72744,433,-53.8664,82013.07,0.114038,0.0500,
72912,434,-56.9330,94824.78,0.075233,0.0500,
73080,435,-57.5541,87903.92,0.059566,0.0500,
73248,436,-50.0995,94131.64,0.071697,0.0500,
73416,437,-69.1805,107800.22,0.097051,0.0500,
73584,438,-58.7830,88887.72,0.083298,0.0500,
73752,439,-53.6865,87568.99,0.070082,0.0500,
73920,440,-53.1672,85276.68,0.055374,0.0500,
74088,441,-81.7219,142114.54,0.073626,0.0500,
74256,442,-75.5542,102379.45,0.065299,0.0500,
74424,443,-81.7523,148318.22,0.056956,0.0500,
74592,444,-87.9001,143499.03,0.065803,0.0500,
74760,445,-51.8830,91883.18,0.082830,0.0500,
74928,446,-58.4306,94372.22,0.075795,0.0500,
75000,446,,,,,-78.8384
75096,447,-86.3574,142301.98,0.092596,0.0500,
75264,448,-91.8404,145693.97,0.055873,0.0500,
75432,449,-54.4404,89610.39,0.084386,0.0500,
75600,450,-57.1759,78197.46,0.071176,0.0500,
75768,451,-81.1084,139522.92,0.077967,0.0500,
75936,452,-91.6232,165009.31,0.060301,0.0500,
76104,453,-53.6889,83052.83,0.095311,0.0500,
76272,454,-81.4650,148497.00,0.088408,0.0500,
76440,455,-67.0611,111750.91,0.072621,0.0500,
76608,456,-69.6549,115855.43,0.070332,0.0500,
76776,457,-58.4448,87388.91,0.053199,0.0500,
76944,458,-54.5501,91326.76,0.080293,0.0500,
77112,459,-51.9402,89702.15,0.087802,0.0500,
77280,460,-70.2426,106232.89,0.058964,0.0500,
77448,461,-65.7639,105349.31,0.036748,0.0500,
